frame_num,frame,player_1_hits,player_1_total_b_speed,player_1_last_b_speed,player_1_total_speed,player_1_last_speed,player_2_hits,player_2_total_b_speed,player_2_last_b_speed,player_2_total_speed,player_2_last_speed,player_1_average_shot_speed,player_2_average_shot_speed,player_1_average_player_speed,player_2_average_player_speed
124,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
125,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
126,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
127,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
128,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
129,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
130,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
131,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
132,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
133,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
134,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
135,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
136,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
137,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
138,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
139,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
140,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
141,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
142,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
143,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
144,0.0,1.0,83.92723083496094,83.92723083496094,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,6.178312301635742,6.178312301635742,83.92723083496094,43.599830627441406,6.645725727081299,6.178312301635742
145,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
146,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
147,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
148,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
149,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
150,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
151,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
152,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
153,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
154,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
155,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
156,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
157,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
158,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
159,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
160,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
161,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
162,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
163,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
164,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
165,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
166,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
167,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
168,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
169,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
170,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
171,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
172,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
173,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
174,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
175,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
176,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
177,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
178,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
179,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
180,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
181,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
182,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
183,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
184,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
185,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
186,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
187,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
188,0.0,2.0,87.65646362304688,3.7292299270629883,6.645725727081299,6.645725727081299,1.0,43.599830627441406,43.599830627441406,10.419718742370605,4.241406440734863,43.82823181152344,43.599830627441406,3.3228628635406494,10.419718742370605
